workload,predictor,sim_seconds,committed_insts,ipc,branch_predicted,branch_mispredicted,mispred_rate
quicksort,large,0.02222,100000002,1.498622,23191178,189321,0.008163492169306794
fft,gshare,0.009191,33875357,1.227334,7083021,222868,0.0314651050731037
quicksort,large,0.021954,100000002,1.516775,22920398,106000,0.004624701543140743
quicksort,small,0.008454,16896977,0.665594,4452625,154544,0.03470851464024031
fft,local,0.009556,33875357,1.18049,7378459,329392,0.04464238399915213
quicksort,large,0.022412,100000002,1.485817,23181536,189152,0.00815959736231456
quicksort,large,0.022196,100000002,1.50029,22911462,106033,0.004627945610803885
basicmath,tournament,0.015477,54044264,1.162839,11121900,80208,0.007211717422382866
dijkstra,small,0.012003,42891612,1.189905,10480183,69421,0.006624025553752258
quicksort,large,0.021997,100000002,1.513859,22916729,105996,0.00462526741927262
fft,local,0.009571,33875357,1.178564,7400223,329392,0.044511091084687586
dijkstra,small,0.011953,42891612,1.194941,10265476,55322,0.0053891314927822145
fft,gshare,0.009169,33875357,1.230257,7067076,222850,0.03153355079243523
quicksort,small,0.007627,16896977,0.73776,4287702,109716,0.025588532038840386
basicmath,gshare,0.0157,54044264,1.146309,11536729,169731,0.014712229090238662
basicmath,bimode,0.015624,54044264,1.151831,11489769,153019,0.013317848252649814
basicmath,bimode,0.015627,54044264,1.151658,11488635,153007,0.013318118296908205
quicksort,small,0.008108,16896977,0.693962,4124261,95162,0.023073709447583458
fft,local,0.009556,33875357,1.180485,7379489,329400,0.044637237076984596
fft,gshare,0.009159,33875357,1.231688,7055986,222873,0.03158637219518293
fft,bimode,0.008992,33875357,1.254563,6949755,182567,0.02626955914273237
quicksort,large,0.022235,100000002,1.497616,23187448,189302,0.00816398596344022
basicmath,tournament,0.015475,54044264,1.162943,11123113,80214,0.007211470386033119
basicmath,bimode,0.015627,54044264,1.151653,11488714,153007,0.01331802671735061
quicksort,small,0.00822,16896977,0.684551,4180963,95280,0.02278900817825941
dijkstra,small,0.011953,42891612,1.194936,10264617,55320,0.005389387641058599
basicmath,local,0.016224,54044264,1.109234,11952095,318863,0.026678419139071433
basicmath,gshare,0.015705,54044264,1.145891,11535440,169711,0.014712139285540908
basicmath,gshare,0.015705,54044264,1.1459,11535361,169711,0.01471224004172908
quicksort,small,0.007578,16896977,0.742525,4247689,104541,0.024611265090264376
dijkstra,small,0.011989,42891612,1.191312,10443132,55331,0.0052983147201433435
quicksort,small,0.007647,16896977,0.735758,4306010,120646,0.02801804919171112
dijkstra,small,0.012114,42891612,1.179079,10489657,94748,0.009032516506497782
fft,gshare,0.009159,33875357,1.231582,7054842,222858,0.03158936798301082
dijkstra,small,0.012107,42891612,1.179759,10430951,94747,0.00908325616715101
fft,local,0.00959,33875357,1.176224,7410940,329401,0.044447937778473445
fft,tournament,0.00893,33875357,1.26325,6913289,165827,0.023986701554064932
dijkstra,small,0.01196,42891612,1.194176,10267581,57215,0.005572393341722846
quicksort,large,0.022408,100000002,1.486097,23181137,189035,0.008154690600379093
quicksort,large,0.022408,100000002,1.486097,23181092,189030,0.008154490737537299
basicmath,gshare,0.015702,54044264,1.14615,11536571,169721,0.01471156377401916
quicksort,large,0.022236,100000002,1.497569,23187028,189176,0.008158699769543558
dijkstra,small,0.011978,42891612,1.192388,10301604,69402,0.00673700911042591
basicmath,local,0.016225,54044264,1.10923,11946353,318841,0.026689400522485817
dijkstra,small,0.01196,42891612,1.194242,10323501,55321,0.005358744092725908
quicksort,small,0.008357,16896977,0.673273,4157312,101926,0.024517284245204593
quicksort,large,0.022192,100000002,1.500528,22911418,105990,0.004626077705011536
dijkstra,small,0.011994,42891612,1.190801,10445981,57239,0.005479523656035752
quicksort,small,0.008266,16896977,0.680672,4246858,113007,0.026609554640159856
basicmath,tournament,0.015478,54044264,1.162736,11122194,80212,0.007211886431759777
quicksort,small,0.008158,16896977,0.689711,4178589,112793,0.026993083071821612
fft,tournament,0.008917,33875357,1.265087,6901727,165834,0.0240278991040938
quicksort,small,0.008129,16896977,0.692166,4156863,101926,0.024519932458683388
dijkstra,small,0.011985,42891612,1.191742,10360645,69402,0.006698617701890182
quicksort,small,0.008302,16896977,0.67776,4362309,154433,0.0354016645771769
fft,tournament,0.008951,33875357,1.260225,6928292,165838,0.023936346793697494
fft,bimode,0.009001,33875357,1.253251,6961384,182554,0.02622380836914039
quicksort,large,0.022948,100000002,1.451084,23654711,282231,0.011931280834502692
dijkstra,small,0.012097,42891612,1.180672,10436294,94753,0.009079180789655791
quicksort,small,0.008349,16896977,0.673975,4124814,95127,0.023062130801534325
basicmath,local,0.016226,54044264,1.1091,11945945,318836,0.026689893516168038
quicksort,large,0.022946,100000002,1.451203,23654629,282260,0.01193254817059274
fft,tournament,0.00892,33875357,1.264566,6900965,165826,0.024029392990690433
quicksort,large,0.022931,100000002,1.452206,23729534,282262,0.011894965994696735
basicmath,bimode,0.015623,54044264,1.151932,11489885,153035,0.01331910632699979
basicmath,local,0.016228,54044264,1.108995,11947994,318857,0.02668707399752628
basicmath,tournament,0.01548,54044264,1.162594,11121825,80207,0.00721167614128077
quicksort,small,0.008383,16896977,0.671164,4178776,112793,0.026991875132814012
dijkstra,small,0.011957,42891612,1.194503,10268370,57226,0.0055730364215547355
fft,bimode,0.008991,33875357,1.254654,6948641,182554,0.0262718997858718
fft,bimode,0.009023,33875357,1.250227,6978610,182574,0.026161943424263572
dijkstra,small,0.011968,42891612,1.193452,10326380,57216,0.005540760653781868
quicksort,small,0.008512,16896977,0.661022,4360740,154436,0.0354150900993868
quicksort,large,0.022929,100000002,1.452329,23744819,282264,0.01188739320354474
quicksort,large,0.02222,100000002,1.498622,23190744,189190,0.008157996138459378
dijkstra,small,0.011967,42891612,1.193574,10302555,69407,0.006736872552488194
quicksort,small,0.00794,16896977,0.70867,4647295,154764,0.033301953071625534
quicksort,large,0.022412,100000002,1.485817,23181490,189152,0.00815961355374482
dijkstra,small,0.012135,42891612,1.176986,10614779,94764,0.008927552801617443
quicksort,small,0.008231,16896977,0.683601,4225086,102154,0.024177969395179175
